iter	Passed	Remaining
928	13096	1000
929	13111	986
930	13125	972
931	13140	958
932	13154	944
933	13167	930
934	13181	916
935	13192	902
936	13208	888
937	13222	873
938	13236	859
939	13254	846
940	13267	831
941	13280	817
942	13292	803
943	13306	789
944	13321	775
945	13336	761
946	13349	747
947	13363	733
948	13376	718
949	13390	704
950	13406	690
951	13421	676
952	13433	662
953	13447	648
954	13463	634
955	13478	620
956	13491	606
957	13505	592
958	13519	577
959	13534	563
960	13548	549
961	13563	535
962	13577	521
963	13590	507
964	13606	493
965	13621	479
966	13635	465
967	13647	451
968	13661	437
969	13675	422
970	13689	408
971	13704	394
972	13718	380
973	13730	366
974	13744	352
975	13758	338
976	13772	324
977	13784	310
978	13797	295
979	13811	281
980	13824	267
981	13837	253
982	13850	239
983	13865	225
984	13879	211
985	13891	197
986	13904	183
987	13918	169
988	13931	154
989	13946	140
990	13958	126
991	13974	112
992	13985	98
993	13999	84
994	14014	70
995	14026	56
996	14039	42
997	14054	28
998	14067	14
999	14081	0
